 tri_width,     global,    average,        iou,           road iou,       sidewalk iou,       building iou,           wall iou,          fence iou,           pole iou,  traffic light iou,   traffic sign iou,     vegetation iou,        terrain iou,            sky iou,         person iou,          rider iou,            car iou,          truck iou,            bus iou,          train iou,     motorcycle iou,        bicycle iou,           road acc,       sidewalk acc,       building acc,           wall acc,          fence acc,           pole acc,  traffic light acc,   traffic sign acc,     vegetation acc,        terrain acc,            sky acc,         person acc,          rider acc,            car acc,          truck acc,            bus acc,          train acc,     motorcycle acc,        bicycle acc
        -1,     94.659,     79.170,     68.672,             97.229,             79.529,             90.385,             44.928,             52.374,             55.095,             56.696,             68.964,             91.008,             58.664,             92.593,             75.728,             49.952,             92.173,             56.179,             72.642,             54.327,             46.245,             70.055,             98.370,             91.406,             95.041,             49.703,             66.845,             68.500,             73.295,             77.931,             95.791,             71.597,             97.652,             87.299,             69.731,             96.093,             66.742,             79.258,             73.454,             59.439,             86.083
         1,     63.190,     51.325,     35.862,             64.264,             43.308,             47.700,             15.799,             23.984,             37.191,             29.084,             34.012,             49.423,             30.505,             57.079,             40.265,             29.274,             48.490,             24.081,             28.632,             19.182,             22.778,             36.323,             74.828,             65.163,             64.947,             19.169,             44.552,             48.530,             47.220,             46.132,             69.134,             44.011,             75.885,             60.050,             47.919,             66.371,             37.760,             40.423,             29.175,             33.210,             60.689
         2,     66.991,     54.455,     39.096,             67.757,             47.231,             51.715,             17.564,             25.816,             42.199,             32.111,             38.277,             53.738,             33.000,             61.830,             44.519,             31.481,             53.854,             25.852,             31.389,             20.814,             24.574,             39.100,             77.557,             69.074,             68.549,             21.128,             46.684,             53.663,             50.452,             50.090,             72.689,             46.905,             79.631,             63.900,             50.419,             70.873,             39.831,             43.141,             31.226,             35.336,             63.492
         3,     70.368,     57.338,     42.199,             70.812,             50.809,             55.665,             19.339,             27.640,             46.106,             35.272,             42.396,             57.928,             35.394,             66.281,             48.830,             33.898,             58.661,             27.694,             34.060,             22.296,             26.574,             42.121,             79.909,             72.300,             71.815,             23.074,             48.665,             57.670,             53.676,             53.827,             75.884,             49.611,             82.868,             67.562,             53.184,             74.651,             41.959,             45.677,             33.022,             37.698,             66.365
         4,     72.973,     59.627,     44.744,             73.308,             53.718,             58.963,             21.002,             29.261,             48.961,             38.084,             45.861,             61.295,             37.419,             69.743,             52.230,             35.835,             62.359,             29.253,             36.425,             23.684,             28.179,             44.564,             81.814,             74.762,             74.487,             24.895,             50.344,             60.544,             56.413,             56.908,             78.295,             51.827,             85.215,             70.292,             55.317,             77.386,             43.683,             47.874,             34.741,             39.595,             68.522
         5,     75.314,     61.758,     47.175,             75.533,             56.417,             62.088,             22.588,             30.776,             50.982,             40.878,             49.172,             64.522,             39.330,             72.911,             55.624,             37.969,             65.746,             30.822,             38.728,             24.987,             30.036,             47.210,             83.495,             76.892,             76.903,             26.620,             51.845,             62.568,             59.055,             59.868,             80.500,             53.883,             87.244,             72.916,             57.682,             79.793,             45.458,             49.957,             36.237,             41.763,             70.731
         6,     77.038,     63.356,     49.033,             77.288,             58.482,             64.497,             24.029,             32.087,             52.440,             43.107,             51.734,             66.922,             40.829,             75.142,             58.018,             39.441,             68.239,             32.078,             40.651,             26.157,             31.367,             49.113,             84.807,             78.444,             78.735,             28.201,             53.073,             64.015,             61.092,             62.128,             82.072,             55.458,             88.602,             74.718,             59.293,             81.498,             46.824,             51.657,             37.605,             43.307,             72.232
         7,     78.471,     64.716,     50.633,             78.786,             60.250,             66.555,             25.369,             33.291,             53.462,             44.997,             53.937,             68.955,             42.141,             76.958,             60.036,             40.722,             70.341,             33.210,             42.374,             27.225,             32.614,             50.809,             85.920,             79.710,             80.258,             29.676,             54.160,             65.037,             62.781,             64.072,             83.363,             56.807,             89.673,             76.206,             60.692,             82.895,             48.058,             53.181,             38.844,             44.743,             73.524
         8,     79.770,     65.970,     52.126,             80.129,             61.862,             68.461,             26.615,             34.430,             54.177,             46.716,             55.924,             70.865,             43.338,             78.604,             61.936,             41.992,             72.268,             34.336,             43.988,             28.276,             33.946,             52.528,             86.910,             80.817,             81.623,             31.046,             55.162,             65.772,             64.303,             65.836,             84.548,             58.012,             90.625,             77.579,             62.079,             84.146,             49.298,             54.599,             40.016,             46.267,             74.795
         9,     80.873,     67.057,     53.428,             81.306,             63.309,             70.087,             27.759,             35.468,             54.692,             48.161,             57.618,             72.473,             44.414,             79.952,             63.557,             43.105,             73.927,             35.365,             45.452,             29.253,             35.164,             54.064,             87.770,             81.784,             82.764,             32.299,             56.039,             66.313,             65.568,             67.332,             85.522,             59.065,             91.387,             78.732,             63.286,             85.202,             50.436,             55.894,             41.117,             47.671,             75.900
        10,     81.827,     68.006,     54.571,             82.323,             64.536,             71.524,             28.802,             36.422,             55.067,             49.405,             59.039,             73.897,             45.347,             81.113,             64.922,             44.044,             75.359,             36.345,             46.782,             30.168,             36.314,             55.438,             88.506,             82.580,             83.751,             33.442,             56.829,             66.719,             66.644,             68.586,             86.373,             59.962,             92.027,             79.690,             64.297,             86.101,             51.517,             57.068,             42.158,             48.993,             76.865
        11,     82.596,     68.781,     55.509,             83.180,             65.562,             72.689,             29.761,             37.281,             55.347,             50.382,             60.176,             75.020,             46.138,             82.017,             65.973,             44.743,             76.515,             37.186,             47.934,             31.007,             37.224,             56.528,             89.120,             83.234,             84.541,             34.490,             57.529,             67.027,             67.479,             69.579,             87.034,             60.703,             92.516,             80.422,             65.037,             86.818,             52.433,             58.088,             43.137,             50.038,             77.616
        12,     83.275,     69.473,     56.347,             83.941,             66.478,             73.721,             30.657,             38.066,             55.560,             51.217,             61.154,             76.011,             46.857,             82.806,             66.889,             45.353,             77.539,             37.971,             48.995,             31.794,             38.074,             57.512,             89.660,             83.810,             85.231,             35.470,             58.160,             67.270,             68.190,             70.433,             87.612,             61.363,             92.936,             81.053,             65.676,             87.447,             53.283,             59.036,             44.062,             51.014,             78.283
        13,     83.962,     70.181,     57.207,             84.687,             67.424,             74.762,             31.524,             38.825,             55.710,             52.022,             62.067,             77.034,             47.613,             83.604,             67.861,             46.042,             78.586,             38.816,             50.064,             32.606,             39.077,             58.611,             90.185,             84.394,             85.911,             36.416,             58.761,             67.460,             68.878,             71.232,             88.201,             62.056,             93.353,             81.717,             66.401,             88.084,             54.209,             59.998,             44.996,             52.170,             79.011
        14,     84.515,     70.753,     57.903,             85.307,             68.179,             75.607,             32.297,             39.497,             55.826,             52.652,             62.805,             77.847,             48.231,             84.235,             68.585,             46.521,             79.422,             39.544,             50.974,             33.348,             39.832,             59.452,             90.617,             84.858,             86.458,             37.260,             59.281,             67.611,             69.418,             71.876,             88.664,             62.613,             93.678,             82.210,             66.898,             88.589,             54.999,             60.812,             45.873,             53.042,             79.560
        15,     85.037,     71.295,     58.563,             85.883,             68.880,             76.411,             33.013,             40.131,             55.914,             53.214,             63.461,             78.625,             48.813,             84.832,             69.267,             46.981,             80.212,             40.271,             51.846,             34.080,             40.592,             60.273,             91.015,             85.282,             86.970,             38.039,             59.767,             67.736,             69.901,             72.450,             89.106,             63.137,             93.981,             82.674,             67.369,             89.064,             55.788,             61.589,             46.728,             53.911,             80.089
        16,     85.475,     71.752,     59.121,             86.384,             69.478,             77.086,             33.669,             40.711,             55.988,             53.668,             64.015,             79.263,             49.312,             85.321,             69.808,             47.329,             80.871,             40.900,             52.615,             34.758,             41.199,             60.928,             91.360,             85.643,             87.398,             38.749,             60.200,             67.844,             70.295,             72.933,             89.465,             63.575,             94.225,             83.041,             67.717,             89.459,             56.459,             62.278,             47.540,             54.598,             80.507
        17,     85.909,     72.206,     59.677,             86.870,             70.075,             77.753,             34.284,             41.274,             56.042,             54.096,             64.536,             79.900,             49.815,             85.807,             70.352,             47.700,             81.527,             41.559,             53.374,             35.447,             41.843,             61.617,             91.692,             85.999,             87.814,             39.411,             60.616,             67.938,             70.671,             73.390,             89.821,             64.012,             94.466,             83.409,             68.088,             89.850,             57.162,             62.960,             48.357,             55.321,             80.939
        18,     86.284,     72.598,     60.157,             87.296,             70.584,             78.333,             34.828,             41.794,             56.086,             54.454,             64.974,             80.445,             50.249,             86.221,             70.797,             47.988,             82.087,             42.156,             54.056,             36.084,             42.365,             62.182,             91.983,             86.300,             88.173,             39.998,             60.995,             68.021,             70.987,             73.774,             90.125,             64.385,             94.668,             83.711,             68.363,             90.182,             57.791,             63.575,             49.135,             55.905,             81.291
        19,     86.644,     72.977,     60.621,             87.707,             71.092,             78.886,             35.336,             42.297,             56.116,             54.772,             65.381,             80.966,             50.681,             86.613,             71.226,             48.267,             82.627,             42.744,             54.728,             36.737,             42.884,             62.743,             92.262,             86.598,             88.514,             40.543,             61.355,             68.090,             71.268,             74.132,             90.412,             64.754,             94.858,             84.002,             68.623,             90.502,             58.411,             64.184,             49.935,             56.479,             81.637
        20,     86.979,     73.325,     61.049,             88.084,             71.543,             79.405,             35.793,             42.768,             56.139,             55.043,             65.745,             81.457,             51.067,             86.980,             71.608,             48.516,             83.124,             43.316,             55.366,             37.355,             43.367,             63.261,             92.516,             86.861,             88.830,             41.032,             61.690,             68.150,             71.509,             74.456,             90.682,             65.079,             95.034,             84.261,             68.848,             90.794,             59.010,             64.763,             50.688,             57.013,             81.954
        21,     87.267,     73.625,     61.419,             88.421,             71.936,             79.852,             36.206,             43.203,             56.162,             55.257,             66.063,             81.868,             51.399,             87.287,             71.920,             48.701,             83.551,             43.820,             55.941,             37.925,             43.768,             63.685,             92.742,             87.091,             89.102,             41.474,             61.994,             68.204,             71.699,             74.739,             90.908,             65.352,             95.179,             84.474,             69.006,             91.044,             59.527,             65.287,             51.390,             57.446,             82.214
        22,     87.562,     73.929,     61.796,             88.757,             72.341,             80.306,             36.593,             43.628,             56.177,             55.456,             66.368,             82.296,             51.742,             87.603,             72.246,             48.898,             83.989,             44.349,             56.522,             38.510,             44.210,             64.144,             92.967,             87.327,             89.376,             41.884,             62.290,             68.252,             71.877,             75.016,             91.141,             65.633,             95.327,             84.696,             69.174,             91.300,             60.071,             65.818,             52.103,             57.912,             82.492
        23,     87.817,     74.190,     62.120,             89.053,             72.682,             80.700,             36.940,             44.018,             56.189,             55.609,             66.634,             82.660,             52.033,             87.871,             72.512,             49.044,             84.363,             44.812,             57.045,             39.034,             44.566,             64.518,             93.163,             87.526,             89.613,             42.252,             62.561,             68.292,             72.017,             75.255,             91.340,             65.868,             95.451,             84.879,             69.292,             91.518,             60.538,             66.297,             52.754,             58.281,             82.720
        24,     88.057,     74.435,     62.424,             89.333,             73.006,             81.070,             37.262,             44.388,             56.194,             55.735,             66.878,             83.001,             52.309,             88.120,             72.757,             49.177,             84.714,             45.255,             57.545,             39.546,             44.898,             64.871,             93.348,             87.715,             89.835,             42.591,             62.817,             68.326,             72.132,             75.475,             91.524,             66.089,             95.565,             85.047,             69.397,             91.721,             60.980,             66.757,             53.388,             58.617,             82.934
        25,     88.301,     74.683,     62.734,             89.613,             73.340,             81.447,             37.575,             44.763,             56.190,             55.852,             67.104,             83.354,             52.592,             88.376,             73.012,             49.315,             85.074,             45.715,             58.050,             40.077,             45.246,             65.246,             93.532,             87.910,             90.059,             42.920,             63.076,             68.353,             72.240,             75.680,             91.714,             66.316,             95.682,             85.222,             69.507,             91.929,             61.441,             67.224,             54.041,             58.966,             83.160
        26,     88.517,     74.899,     63.005,             89.866,             73.632,             81.778,             37.859,             45.109,             56.185,             55.944,             67.304,             83.658,             52.836,             88.598,             73.224,             49.420,             85.386,             46.120,             58.511,             40.567,             45.528,             65.558,             93.698,             88.081,             90.256,             43.215,             63.313,             68.376,             72.326,             75.861,             91.879,             66.506,             95.782,             85.368,             69.587,             92.109,             61.837,             67.651,             54.646,             59.242,             83.350
        27,     88.723,     75.103,     63.260,             90.104,             73.902,             82.097,             38.126,             45.436,             56.179,             56.027,             67.486,             83.953,             53.067,             88.811,             73.420,             49.515,             85.683,             46.521,             58.952,             41.035,             45.776,             65.857,             93.854,             88.238,             90.443,             43.491,             63.538,             68.396,             72.407,             76.028,             92.037,             66.686,             95.878,             85.503,             69.658,             92.280,             62.223,             68.058,             55.230,             59.485,             83.530
        28,     88.909,     75.287,     63.491,             90.323,             74.145,             82.384,             38.378,             45.741,             56.171,             56.099,             67.650,             84.214,             53.274,             89.002,             73.590,             49.586,             85.950,             46.895,             59.362,             41.468,             45.984,             66.114,             93.997,             88.380,             90.611,             43.751,             63.747,             68.413,             72.478,             76.177,             92.178,             66.846,             95.964,             85.621,             69.705,             92.433,             62.573,             68.437,             55.777,             59.683,             83.687
