 tri_width,     global,    average,        iou,           flat iou,   construction iou,         object iou,         nature iou,            sky iou,          human iou,        vehicle iou,           flat acc,   construction acc,         object acc,         nature acc,            sky acc,          human acc,        vehicle acc
        -1,     96.432,     92.238,     86.265,             98.222,             90.742,             62.250,             91.416,             92.593,             77.583,             91.046,             99.299,             94.551,             74.091,             95.853,             97.652,             88.923,             95.298
         1,     66.312,     66.597,     49.567,             66.597,             47.214,             38.478,             49.687,             57.111,             41.895,             45.989,             80.338,             63.965,             50.299,             68.778,             75.885,             61.758,             65.159
         2,     70.173,     70.397,     53.988,             70.550,             51.224,             43.407,             54.031,             61.859,             46.131,             50.713,             83.253,             67.541,             55.163,             72.375,             79.631,             65.559,             69.259
         3,     73.589,     73.732,     58.113,             73.978,             55.183,             47.442,             58.242,             66.309,             50.480,             55.154,             85.620,             70.805,             59.097,             75.618,             82.868,             69.250,             72.864
         4,     76.216,     76.242,     61.382,             76.666,             58.514,             50.480,             61.641,             69.771,             53.919,             58.681,             87.427,             73.478,             61.983,             78.071,             85.215,             72.002,             75.521
         5,     78.551,     78.467,     64.404,             78.995,             61.677,             52.878,             64.891,             72.940,             57.404,             62.041,             88.932,             75.905,             64.225,             80.317,             87.244,             74.704,             77.940
         6,     80.265,     80.055,     66.635,             80.770,             64.139,             54.648,             67.319,             75.173,             59.849,             64.545,             90.050,             77.757,             65.854,             81.924,             88.602,             76.545,             79.650
         7,     81.679,     81.345,     68.496,             82.248,             66.252,             56.002,             69.377,             76.990,             61.913,             66.692,             90.955,             79.304,             67.097,             83.245,             89.673,             78.069,             81.071
         8,     82.950,     82.497,     70.197,             83.558,             68.213,             57.101,             71.304,             78.637,             63.864,             68.701,             91.737,             80.700,             68.110,             84.453,             90.625,             79.486,             82.368
         9,     84.017,     83.451,     71.632,             84.669,             69.892,             57.983,             72.930,             79.985,             65.517,             70.450,             92.389,             81.869,             68.925,             85.450,             91.387,             80.668,             83.474
        10,     84.937,     84.262,     72.873,             85.630,             71.378,             58.701,             74.364,             81.147,             66.910,             71.978,             92.940,             82.885,             69.590,             86.316,             92.027,             81.649,             84.424
        11,     85.675,     84.898,     73.861,             86.427,             72.590,             59.266,             75.500,             82.052,             67.973,             73.216,             93.391,             83.702,             70.113,             86.991,             92.516,             82.388,             85.183
        12,     86.323,     85.449,     74.729,             87.132,             73.667,             59.741,             76.502,             82.841,             68.900,             74.318,             93.782,             84.419,             70.553,             87.581,             92.936,             83.026,             85.851
        13,     86.970,     86.001,     75.606,             87.814,             74.745,             60.166,             77.533,             83.640,             69.891,             75.455,             94.156,             85.125,             70.954,             88.181,             93.353,             83.704,             86.536
        14,     87.490,     86.435,     76.303,             88.382,             75.625,             60.507,             78.351,             84.271,             70.621,             76.365,             94.464,             85.697,             71.276,             88.653,             93.678,             84.200,             87.078
        15,     87.979,     86.840,     76.959,             88.908,             76.460,             60.806,             79.132,             84.869,             71.310,             77.229,             94.746,             86.231,             71.564,             89.102,             93.981,             84.666,             87.590
        16,     88.388,     87.173,     77.502,             89.362,             77.164,             61.056,             79.773,             85.358,             71.853,             77.949,             94.988,             86.677,             71.807,             89.467,             94.225,             85.031,             88.014
        17,     88.789,     87.499,     78.038,             89.796,             77.856,             61.285,             80.411,             85.844,             72.403,             78.670,             95.218,             87.111,             72.035,             89.828,             94.466,             85.400,             88.436
        18,     89.136,     87.776,     78.495,             90.178,             78.459,             61.478,             80.958,             86.258,             72.850,             79.286,             95.418,             87.486,             72.231,             90.135,             94.668,             85.696,             88.795
        19,     89.466,     88.038,     78.931,             90.540,             79.034,             61.650,             81.480,             86.651,             73.281,             79.882,             95.608,             87.841,             72.409,             90.426,             94.858,             85.980,             89.142
        20,     89.771,     88.278,     79.333,             90.874,             79.571,             61.801,             81.968,             87.017,             73.667,             80.432,             95.781,             88.171,             72.568,             90.698,             95.034,             86.234,             89.460
        21,     90.035,     88.481,     79.674,             91.168,             80.035,             61.931,             82.379,             87.325,             73.978,             80.904,             95.933,             88.454,             72.706,             90.925,             95.179,             86.438,             89.732
        22,     90.301,     88.687,     80.022,             91.457,             80.505,             62.053,             82.803,             87.641,             74.305,             81.390,             96.082,             88.739,             72.839,             91.159,             95.327,             86.651,             90.011
        23,     90.532,     88.862,     80.319,             91.715,             80.914,             62.156,             83.165,             87.908,             74.568,             81.807,             96.214,             88.987,             72.952,             91.358,             95.451,             86.822,             90.249
        24,     90.748,     89.024,     80.595,             91.955,             81.298,             62.246,             83.503,             88.158,             74.810,             82.198,             96.337,             89.218,             73.053,             91.543,             95.565,             86.979,             90.473
        25,     90.967,     89.188,     80.877,             92.195,             81.688,             62.324,             83.854,             88.414,             75.061,             82.601,             96.460,             89.451,             73.145,             91.733,             95.682,             87.143,             90.703
        26,     91.160,     89.330,     81.120,             92.410,             82.030,             62.392,             84.156,             88.636,             75.268,             82.951,             96.569,             89.656,             73.226,             91.897,             95.782,             87.276,             90.902
        27,     91.344,     89.464,     81.352,             92.613,             82.359,             62.452,             84.446,             88.849,             75.458,             83.284,             96.672,             89.851,             73.300,             92.055,             95.878,             87.400,             91.091
        28,     91.510,     89.583,     81.558,             92.799,             82.656,             62.505,             84.705,             89.039,             75.621,             83.584,             96.766,             90.027,             73.365,             92.195,             95.964,             87.506,             91.261
        29,     91.672,     89.700,     81.760,             92.979,             82.947,             62.551,             84.960,             89.228,             75.779,             83.878,             96.857,             90.199,             73.425,             92.333,             96.051,             87.608,             91.427
        30,     91.827,     89.810,     81.952,             93.150,             83.224,             62.594,             85.203,             89.407,             75.927,             84.158,             96.943,             90.361,             73.480,             92.464,             96.132,             87.703,             91.587
        31,     91.967,     89.909,     82.124,             93.308,             83.476,             62.633,             85.420,             89.567,             76.053,             84.410,             97.022,             90.509,             73.531,             92.581,             96.205,             87.784,             91.729
        32,     92.109,     90.009,     82.298,             93.464,             83.731,             62.669,             85.645,             89.730,             76.182,             84.667,             97.100,             90.657,             73.579,             92.702,             96.278,             87.869,             91.874
        33,     92.239,     90.098,     82.455,             93.609,             83.963,             62.700,             85.846,             89.876,             76.294,             84.900,             97.173,             90.792,             73.623,             92.810,             96.344,             87.942,             92.005
        34,     92.366,     90.186,     82.609,             93.749,             84.191,             62.727,             86.045,             90.020,             76.402,             85.129,             97.243,             90.924,             73.664,             92.917,             96.408,             88.013,             92.134
        35,     92.486,     90.268,     82.752,             93.881,             84.405,             62.750,             86.232,             90.153,             76.499,             85.343,             97.308,             91.048,             73.701,             93.017,             96.468,             88.077,             92.255
        36,     92.593,     90.340,     82.879,             94.002,             84.598,             62.768,             86.397,             90.271,             76.581,             85.534,             97.368,             91.158,             73.733,             93.105,             96.521,             88.131,             92.362
        37,     92.704,     90.414,     83.010,             94.125,             84.797,             62.783,             86.572,             90.394,             76.666,             85.732,             97.429,             91.272,             73.763,             93.199,             96.575,             88.189,             92.474
        38,     92.804,     90.480,     83.126,             94.236,             84.975,             62.794,             86.725,             90.503,             76.737,             85.909,             97.483,             91.374,             73.789,             93.281,             96.623,             88.237,             92.573
        39,     92.907,     90.548,     83.246,             94.349,             85.160,             62.803,             86.888,             90.617,             76.812,             86.092,             97.539,             91.480,             73.814,             93.368,             96.673,             88.287,             92.676
