 tri_width,     global,    average,        iou,           road iou,       sidewalk iou,       building iou,           wall iou,          fence iou,           pole iou,  traffic light iou,   traffic sign iou,     vegetation iou,        terrain iou,            sky iou,         person iou,          rider iou,            car iou,          truck iou,            bus iou,          train iou,     motorcycle iou,        bicycle iou,           road acc,       sidewalk acc,       building acc,           wall acc,          fence acc,           pole acc,  traffic light acc,   traffic sign acc,     vegetation acc,        terrain acc,            sky acc,         person acc,          rider acc,            car acc,          truck acc,            bus acc,          train acc,     motorcycle acc,        bicycle acc
        -1,     95.452,     83.448,     73.755,             97.639,             82.451,             91.799,             47.743,             55.166,             64.724,             68.703,             77.187,             91.790,             59.476,             94.621,             79.510,             58.776,             93.587,             63.166,             81.505,             65.431,             53.382,             74.684,             98.559,             91.437,             95.788,             62.567,             73.090,             76.502,             80.327,             84.497,             96.132,             68.456,             97.412,             90.976,             72.325,             97.130,             75.229,             88.937,             79.994,             68.389,             87.771
         1,     67.430,     55.662,     40.274,             69.174,             44.592,             51.956,             21.594,             23.638,             46.968,             38.405,             42.713,             52.133,             31.171,             60.691,             45.562,             32.812,             55.264,             24.515,             35.026,             22.555,             25.493,             40.937,             81.810,             58.701,             69.346,             28.362,             47.996,             59.702,             54.881,             57.038,             69.875,             41.380,             75.333,             69.601,             47.459,             74.834,             34.608,             49.632,             35.569,             38.505,             62.952
         2,     71.621,     59.489,     44.452,             72.986,             50.102,             56.705,             24.295,             25.812,             52.820,             43.424,             48.545,             57.109,             34.344,             66.345,             50.574,             36.085,             61.080,             27.562,             39.212,             24.807,             28.016,             44.764,             84.417,             64.201,             73.476,             31.602,             50.831,             64.830,             59.484,             61.860,             73.951,             44.733,             79.696,             73.448,             50.723,             79.001,             38.379,             53.795,             38.097,             41.330,             66.433
         3,     74.905,     62.592,     48.002,             75.962,             54.548,             60.839,             26.589,             27.832,             56.798,             47.944,             53.402,             61.454,             37.037,             71.019,             55.087,             39.270,             65.732,             30.149,             42.628,             26.773,             30.546,             48.438,             86.360,             68.395,             76.745,             34.355,             53.182,             68.339,             63.432,             65.726,             77.243,             47.501,             83.045,             76.596,             53.805,             82.062,             41.564,             57.043,             40.165,             44.111,             69.582
         4,     77.248,     64.877,     50.678,             78.206,             57.891,             63.997,             28.514,             29.577,             59.419,             51.429,             57.027,             64.729,             39.198,             74.333,             58.360,             41.642,             69.075,             32.177,             45.277,             28.416,             32.455,             51.160,             87.748,             71.455,             79.138,             36.676,             55.067,             70.652,             66.369,             68.537,             79.582,             49.678,             85.287,             78.742,             56.039,             84.128,             44.109,             59.567,             41.929,             46.191,             71.777
         5,     79.253,     66.891,     53.087,             80.115,             60.804,             66.821,             30.224,             31.165,             61.176,             54.518,             60.174,             67.725,             41.080,             77.209,             61.450,             44.073,             72.018,             34.082,             47.630,             29.877,             34.557,             53.951,             88.917,             73.990,             81.158,             38.764,             56.687,             72.222,             68.911,             70.986,             81.641,             51.536,             87.157,             80.696,             58.315,             85.873,             46.494,             61.762,             43.402,             48.469,             73.951
         6,     80.695,     68.367,     54.865,             81.571,             62.965,             68.939,             31.657,             32.532,             62.398,             56.776,             62.458,             69.905,             42.527,             79.182,             63.569,             45.745,             74.129,             35.531,             49.487,             31.147,             36.031,             55.891,             89.760,             75.859,             82.630,             40.525,             58.016,             73.321,             70.745,             72.748,             83.092,             52.947,             88.405,             82.007,             59.869,             87.077,             48.338,             63.461,             44.706,             50.054,             75.408
         7,     81.877,     69.596,     56.358,             82.789,             64.761,             70.725,             32.899,             33.763,             63.235,             58.595,             64.327,             71.731,             43.745,             80.766,             65.330,             47.170,             75.881,             36.771,             51.098,             32.284,             37.357,             57.567,             90.452,             77.385,             83.829,             42.071,             59.162,             74.091,             72.203,             74.194,             84.279,             54.112,             89.391,             83.079,             61.195,             88.051,             49.941,             64.919,             45.873,             51.459,             76.641
         8,     82.941,     70.715,     57.727,             83.866,             66.355,             72.367,             34.021,             34.901,             63.811,             60.200,             65.966,             73.438,             44.820,             82.194,             66.978,             48.564,             77.468,             37.931,             52.599,             33.415,             38.713,             59.212,             91.062,             78.707,             84.894,             43.487,             60.178,             74.639,             73.473,             75.478,             85.369,             55.122,             90.276,             84.065,             62.502,             88.916,             51.456,             66.249,             47.002,             52.878,             77.826
         9,     83.842,     71.681,     58.913,             84.805,             67.767,             73.767,             35.020,             35.930,             64.223,             61.512,             67.344,             74.870,             45.758,             83.361,             68.380,             49.790,             78.824,             38.966,             53.930,             34.536,             39.917,             60.648,             91.586,             79.862,             85.780,             44.763,             61.067,             75.046,             74.507,             76.556,             86.271,             55.991,             90.993,             84.888,             63.660,             89.640,             52.808,             67.429,             48.128,             54.123,             78.840
