 tri_width,     global,    average,        iou,           flat iou,   construction iou,         object iou,         nature iou,            sky iou,          human iou,        vehicle iou,           flat acc,   construction acc,         object acc,         nature acc,            sky acc,          human acc,        vehicle acc
        -1,     97.028,     93.886,     88.861,             98.610,             92.048,             70.830,             92.118,             94.621,             81.141,             92.658,             99.229,             95.917,             80.729,             95.930,             97.412,             91.367,             96.619
         1,     70.306,     70.831,     54.473,             69.830,             51.355,             47.695,             52.252,             60.701,             47.294,             52.187,             80.300,             68.934,             60.730,             69.079,             75.333,             69.585,             71.854
         2,     74.529,     74.989,     59.686,             74.359,             56.126,             53.582,             57.284,             66.353,             52.437,             57.658,             83.721,             73.103,             65.710,             73.198,             79.696,             73.498,             75.997
         3,     77.816,     78.201,     63.988,             77.811,             60.296,             57.801,             61.667,             71.027,             57.103,             62.211,             86.220,             76.413,             69.254,             76.536,             83.045,             76.751,             79.189
         4,     80.149,     80.430,     67.116,             80.295,             63.508,             60.667,             64.978,             74.344,             60.468,             65.552,             87.963,             78.849,             71.638,             78.911,             85.287,             78.965,             81.394
         5,     82.121,     82.309,     69.856,             82.355,             66.383,             62.795,             67.996,             77.220,             63.661,             68.581,             89.366,             80.909,             73.407,             81.004,             87.157,             81.001,             83.316
         6,     83.536,     83.622,     71.818,             83.881,             68.556,             64.307,             70.197,             79.194,             65.823,             70.770,             90.383,             82.421,             74.663,             82.479,             88.405,             82.354,             84.653
         7,     84.690,     84.679,     73.428,             85.134,             70.392,             65.438,             72.039,             80.778,             67.610,             72.608,             91.206,             83.656,             75.607,             83.685,             89.391,             83.459,             85.751
         8,     85.722,     85.619,     74.885,             86.236,             72.081,             66.340,             73.755,             82.206,             69.279,             74.302,             91.917,             84.755,             76.367,             84.794,             90.276,             84.479,             86.744
         9,     86.586,     86.397,     76.109,             87.169,             73.521,             67.057,             75.197,             83.373,             70.683,             75.760,             92.512,             85.672,             76.976,             85.710,             90.993,             85.329,             87.584
        10,     87.335,     87.059,     77.164,             87.976,             74.799,             67.634,             76.474,             84.379,             71.863,             77.024,             93.021,             86.467,             77.472,             86.514,             91.602,             86.036,             88.301
        11,     87.937,     87.582,     78.004,             88.648,             75.844,             68.085,             77.489,             85.161,             72.760,             78.043,             93.440,             87.109,             77.862,             87.145,             92.073,             86.570,             88.872
        12,     88.468,     88.037,     78.743,             89.242,             76.776,             68.462,             78.387,             85.845,             73.541,             78.948,             93.807,             87.675,             78.189,             87.699,             92.481,             87.031,             89.375
        13,     88.999,     88.492,     79.490,             89.816,             77.710,             68.796,             79.312,             86.537,             74.380,             79.881,             94.159,             88.234,             78.484,             88.265,             92.890,             87.522,             89.889
        14,     89.428,     88.852,     80.085,             90.295,             78.479,             69.062,             80.051,             87.084,             74.997,             80.627,             94.451,             88.690,             78.720,             88.714,             93.211,             87.882,             90.297
        15,     89.833,     89.189,     80.646,             90.739,             79.209,             69.295,             80.758,             87.603,             75.582,             81.335,             94.720,             89.118,             78.929,             89.142,             93.514,             88.222,             90.682
        16,     90.173,     89.468,     81.111,             91.123,             79.828,             69.489,             81.338,             88.027,             76.043,             81.926,             94.952,             89.478,             79.102,             89.492,             93.760,             88.488,             91.002
        17,     90.507,     89.741,     81.570,             91.492,             80.438,             69.662,             81.919,             88.447,             76.514,             82.517,             95.173,             89.829,             79.260,             89.840,             94.002,             88.758,             91.321
        18,     90.797,     89.973,     81.963,             91.818,             80.971,             69.807,             82.418,             88.805,             76.897,             83.022,             95.367,             90.132,             79.395,             90.139,             94.207,             88.978,             91.594
        19,     91.074,     90.194,     82.338,             92.127,             81.479,             69.937,             82.896,             89.145,             77.268,             83.511,             95.551,             90.421,             79.516,             90.423,             94.400,             89.189,             91.857
