 tri_width,     global,    average,        iou,           road iou,       sidewalk iou,       building iou,           wall iou,          fence iou,           pole iou,  traffic light iou,   traffic sign iou,     vegetation iou,        terrain iou,            sky iou,         person iou,          rider iou,            car iou,          truck iou,            bus iou,          train iou,     motorcycle iou,        bicycle iou,           road acc,       sidewalk acc,       building acc,           wall acc,          fence acc,           pole acc,  traffic light acc,   traffic sign acc,     vegetation acc,        terrain acc,            sky acc,         person acc,          rider acc,            car acc,          truck acc,            bus acc,          train acc,     motorcycle acc,        bicycle acc
        -1,     95.356,     82.981,     72.527,             97.725,             82.963,             91.180,             49.558,             56.795,             60.721,             65.629,             75.708,             91.762,             62.178,             93.955,             78.585,             55.915,             93.413,             60.621,             76.168,             63.338,             48.752,             73.047,             98.886,             90.714,             95.470,             61.786,             69.371,             71.926,             83.513,             84.949,             96.034,             72.572,             98.320,             88.979,             74.587,             96.975,             72.055,             87.550,             78.004,             69.343,             85.597
         1,     66.082,     57.208,     39.803,             67.405,             43.610,             50.566,             22.829,             25.540,             43.035,             36.801,             42.417,             50.639,             31.782,             61.378,             43.931,             33.763,             52.630,             27.376,             34.426,             22.706,             26.218,             39.203,             79.888,             59.388,             68.180,             31.287,             45.440,             53.845,             60.786,             58.976,             68.290,             44.284,             81.359,             64.195,             54.810,             71.998,             45.070,             55.874,             35.643,             47.122,             60.516
         2,     70.245,     60.741,     43.669,             71.196,             48.601,             55.220,             25.336,             27.830,             48.799,             40.875,             47.905,             55.569,             34.712,             66.490,             48.871,             36.626,             58.348,             29.714,             37.613,             24.878,             28.178,             42.941,             82.690,             64.255,             72.262,             34.200,             47.954,             59.262,             64.543,             63.336,             72.364,             47.531,             85.007,             68.263,             57.727,             76.343,             47.717,             58.987,             38.213,             49.429,             63.991
         3,     73.629,     63.689,     47.085,             74.282,             52.852,             59.420,             27.550,             29.981,             52.809,             44.794,             52.612,             60.009,             37.388,             70.768,             53.458,             39.486,             63.114,             31.843,             40.466,             26.841,             30.259,             46.673,             84.889,             68.145,             75.639,             36.698,             50.137,             63.039,             67.901,             66.933,             75.758,             50.406,             87.723,             71.750,             60.488,             79.673,             50.021,             61.452,             40.345,             51.842,             67.258
         4,     76.090,     65.884,     49.722,             76.669,             56.147,             62.680,             29.432,             31.814,             55.507,             47.969,             56.190,             63.407,             39.539,             73.885,             56.861,             41.689,             66.623,             33.560,             42.840,             28.530,             31.897,             49.477,             86.534,             71.035,             78.146,             38.802,             51.870,             65.558,             70.454,             69.617,             78.254,             52.685,             89.493,             74.201,             62.511,             81.964,             51.821,             63.401,             42.198,             53.703,             69.553
         5,     78.224,     67.837,     52.137,             78.727,             59.102,             65.635,             31.112,             33.489,             57.329,             50.895,             59.320,             66.557,             41.491,             76.619,             60.109,             43.951,             69.757,             35.200,             45.061,             30.148,             33.751,             52.348,             87.923,             73.498,             80.299,             40.669,             53.390,             67.262,             72.751,             71.988,             80.473,             54.720,             90.944,             76.487,             64.544,             83.926,             53.551,             65.132,             43.793,             55.730,             71.818
         6,     79.759,     69.265,     53.934,             80.302,             61.299,             67.841,             32.532,             34.898,             58.611,             53.113,             61.601,             68.853,             42.989,             78.524,             62.340,             45.474,             72.026,             36.487,             46.859,             31.571,             35.106,             54.321,             88.955,             75.279,             81.856,             42.271,             54.597,             68.455,             74.447,             73.697,             82.054,             56.239,             91.892,             78.032,             65.900,             85.294,             54.872,             66.521,             45.204,             57.172,             73.305
         7,     81.021,     70.460,     55.455,             81.627,             63.155,             69.700,             33.767,             36.167,             59.496,             54.950,             63.474,             70.777,             44.287,             80.069,             64.189,             46.766,             73.922,             37.640,             48.437,             32.844,             36.371,             56.013,             89.809,             76.739,             83.121,             43.675,             55.643,             69.293,             75.823,             75.107,             83.350,             57.527,             92.638,             79.297,             67.046,             86.406,             56.062,             67.745,             46.434,             58.486,             74.543
         8,     82.159,     71.550,     56.859,             82.802,             64.829,             71.409,             34.869,             37.358,             60.107,             56.594,             65.108,             72.572,             45.479,             81.464,             65.919,             48.024,             75.646,             38.777,             49.941,             34.070,             37.688,             57.665,             90.558,             78.020,             84.247,             44.931,             56.611,             69.890,             77.033,             76.355,             84.533,             58.680,             93.303,             80.468,             68.170,             87.397,             57.241,             68.899,             47.561,             59.832,             75.720
         9,     83.124,     72.493,     58.080,             83.825,             66.324,             72.864,             35.863,             38.439,             60.547,             57.961,             66.469,             74.080,             46.567,             82.613,             67.394,             49.121,             77.118,             39.801,             51.321,             35.239,             38.861,             59.106,             91.198,             79.147,             85.182,             46.050,             57.454,             70.332,             78.027,             77.398,             85.514,             59.712,             93.838,             81.453,             69.161,             88.227,             58.309,             69.949,             48.661,             61.032,             76.718
        10,     83.956,     73.308,     59.142,             84.704,             67.573,             74.149,             36.756,             39.418,             60.861,             59.135,             67.593,             75.414,             47.508,             83.608,             68.638,             50.020,             78.389,             40.766,             52.584,             36.298,             39.920,             60.366,             91.741,             80.072,             85.991,             47.053,             58.211,             70.659,             78.869,             78.259,             86.370,             60.595,             94.291,             82.277,             69.966,             88.933,             59.290,             70.902,             49.671,             62.124,             77.570
        11,     84.628,     73.971,     60.009,             85.445,             68.611,             75.190,             37.560,             40.284,             61.091,             60.049,             68.490,             76.468,             48.305,             84.388,             69.597,             50.680,             79.414,             41.569,             53.664,             37.263,             40.754,             61.349,             92.192,             80.833,             86.636,             47.944,             58.866,             70.903,             79.516,             78.938,             87.041,             61.331,             94.640,             82.909,             70.552,             89.495,             60.089,             71.723,             50.630,             62.990,             78.223
        12,     85.222,     74.561,     60.781,             86.105,             69.532,             76.113,             38.288,             41.075,             61.263,             60.819,             69.264,             77.400,             49.028,             85.070,             70.432,             51.249,             80.321,             42.315,             54.662,             38.175,             41.508,             62.226,             92.588,             81.503,             87.200,             48.748,             59.460,             71.093,             80.058,             79.524,             87.629,             61.987,             94.940,             83.457,             71.052,             89.989,             60.822,             72.487,             51.549,             63.776,             78.795
        13,     85.823,     75.163,     61.572,             86.754,             70.485,             77.044,             38.988,             41.846,             61.383,             61.540,             69.979,             78.363,             49.795,             85.757,             71.316,             51.886,             81.244,             43.119,             55.677,             39.142,             42.353,             63.195,             92.975,             82.187,             87.758,             49.516,             60.046,             71.240,             80.566,             80.067,             88.228,             62.678,             95.238,             84.035,             71.614,             90.490,             61.617,             73.270,             52.511,             64.647,             79.415
        14,     86.308,     75.649,     62.211,             87.298,             71.246,             77.804,             39.602,             42.528,             61.478,             62.091,             70.554,             79.128,             50.425,             86.303,             71.973,             52.324,             81.984,             43.812,             56.546,             39.998,             42.979,             63.929,             93.294,             82.732,             88.210,             50.189,             60.549,             71.359,             80.951,             80.503,             88.701,             63.238,             95.471,             84.464,             71.995,             90.889,             62.287,             73.931,             53.396,             65.294,             79.880
        15,     86.767,     76.108,     62.817,             87.804,             71.955,             78.528,             40.178,             43.174,             61.551,             62.574,             71.062,             79.862,             51.025,             86.821,             72.590,             52.734,             82.681,             44.509,             57.390,             40.861,             43.589,             64.640,             93.588,             83.235,             88.634,             50.819,             61.019,             71.459,             81.289,             80.890,             89.149,             63.769,             95.688,             84.868,             72.348,             91.265,             62.959,             74.566,             54.272,             65.915,             80.326
        16,     87.154,     76.496,     63.330,             88.248,             72.564,             79.136,             40.701,             43.755,             61.609,             62.954,             71.487,             80.463,             51.543,             87.245,             73.079,             53.047,             83.264,             45.117,             58.134,             41.657,             44.068,             65.205,             93.843,             83.668,             88.988,             51.384,             61.427,             71.543,             81.555,             81.213,             89.517,             64.219,             95.864,             85.187,             72.612,             91.577,             63.527,             75.120,             55.102,             66.395,             80.680
        17,     87.537,     76.879,     63.841,             88.679,             73.173,             79.737,             41.197,             44.308,             61.647,             63.303,             71.884,             81.064,             52.069,             87.666,             73.570,             53.379,             83.842,             45.759,             58.875,             42.457,             44.573,             65.794,             94.090,             84.095,             89.334,             51.916,             61.812,             71.613,             81.797,             81.517,             89.881,             64.668,             96.036,             85.508,             72.889,             91.887,             64.121,             75.669,             55.925,             66.887,             81.044
        18,     87.868,     77.208,     64.281,             89.057,             73.694,             80.260,             41.626,             44.817,             61.679,             63.591,             72.221,             81.580,             52.523,             88.026,             73.974,             53.637,             84.336,             46.338,             59.537,             43.188,             44.976,             66.276,             94.305,             84.460,             89.634,             52.382,             62.158,             71.676,             81.996,             81.776,             90.192,             65.053,             96.181,             85.773,             73.098,             92.151,             64.643,             76.157,             56.697,             67.275,             81.344
        19,     88.188,     77.527,     64.708,             89.422,             74.215,             80.761,             42.027,             45.313,             61.699,             63.844,             72.533,             82.074,             52.983,             88.369,             74.365,             53.893,             84.814,             46.911,             60.175,             43.924,             45.377,             66.755,             94.510,             84.822,             89.920,             52.817,             62.497,             71.728,             82.174,             82.016,             90.488,             65.438,             96.317,             86.030,             73.300,             92.404,             65.158,             76.628,             57.476,             67.654,             81.641
        20,     88.484,     77.820,     65.102,             89.756,             74.676,             81.231,             42.389,             45.780,             61.712,             64.060,             72.813,             82.539,             53.387,             88.691,             74.716,             54.123,             85.256,             47.472,             60.782,             44.607,             45.747,             67.197,             94.697,             85.140,             90.186,             53.212,             62.815,             71.773,             82.325,             82.235,             90.764,             65.770,             96.444,             86.261,             73.476,             92.638,             65.656,             77.075,             58.189,             68.002,             81.913
        21,     88.741,     78.072,     65.442,             90.054,             75.079,             81.635,             42.711,             46.214,             61.725,             64.235,             73.061,             82.929,             53.737,             88.963,             75.003,             54.296,             85.635,             47.964,             61.315,             45.230,             46.055,             67.559,             94.864,             85.418,             90.415,             53.564,             63.107,             71.812,             82.446,             82.429,             90.997,             66.053,             96.550,             86.451,             73.604,             92.838,             66.085,             77.463,             58.852,             68.287,             82.137
