 tri_width,     global,    average,        iou,           flat iou,   construction iou,         object iou,         nature iou,            sky iou,          human iou,        vehicle iou,           flat acc,   construction acc,         object acc,         nature acc,            sky acc,          human acc,        vehicle acc
        -1,     96.889,     93.472,     88.124,             98.479,             91.778,             68.046,             92.132,             93.955,             80.188,             92.290,             99.269,             95.447,             78.564,             95.985,             98.320,             90.352,             96.369
         1,     69.035,     70.031,     53.031,             68.450,             50.191,             44.811,             50.973,             61.413,             45.446,             49.934,             79.909,             67.602,             57.084,             67.951,             81.359,             65.996,             70.314
         2,     73.214,     74.089,     58.029,             72.803,             54.837,             50.550,             55.937,             66.526,             50.390,             55.160,             83.174,             71.653,             62.259,             72.049,             85.007,             70.037,             74.447
         3,     76.592,     77.321,     62.299,             76.296,             59.050,             54.786,             60.402,             70.806,             55.039,             59.711,             85.685,             75.023,             66.039,             75.477,             87.723,             73.545,             77.757
         4,     79.036,     79.604,     65.480,             78.892,             62.350,             57.722,             63.830,             73.926,             58.503,             63.135,             87.505,             77.537,             68.611,             78.002,             89.493,             76.008,             80.071
         5,     81.131,     81.551,     68.308,             81.072,             65.347,             59.933,             66.994,             76.662,             61.854,             66.292,             88.984,             79.707,             70.536,             80.245,             90.944,             78.332,             82.111
         6,     82.635,     82.914,     70.345,             82.701,             67.605,             61.512,             69.305,             78.569,             64.137,             68.586,             90.064,             81.287,             71.896,             81.845,             91.892,             79.885,             83.528
         7,     83.864,     84.011,     72.024,             84.045,             69.515,             62.701,             71.240,             80.115,             66.028,             70.523,             90.937,             82.579,             72.924,             83.155,             92.638,             81.155,             84.692
         8,     84.964,     84.988,     73.546,             85.231,             71.275,             63.652,             73.038,             81.511,             67.799,             72.317,             91.692,             83.735,             73.756,             84.350,             93.303,             82.334,             85.745
         9,     85.886,     85.797,     74.828,             86.237,             72.779,             64.409,             74.554,             82.662,             69.294,             73.865,             92.326,             84.696,             74.424,             85.342,             93.838,             83.318,             86.633
        10,     86.683,     86.484,     75.934,             87.106,             74.109,             65.020,             75.889,             83.657,             70.547,             75.212,             92.865,             85.530,             74.964,             86.207,             94.291,             84.135,             87.393
        11,     87.323,     87.025,     76.815,             87.827,             75.192,             65.496,             76.948,             84.438,             71.505,             76.300,             93.308,             86.199,             75.385,             86.886,             94.640,             84.755,             88.000
        12,     87.885,     87.495,     77.589,             88.463,             76.155,             65.894,             77.884,             85.120,             72.336,             77.267,             93.695,             86.786,             75.738,             87.481,             94.940,             85.289,             88.534
