x y1 y2 y3 y4 y5 y dy1 dy2 dy3 dy4 dy5 dy
0.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
0.100000 0.995012 0.997503 0.998751 0.999375 0.999688 0.998066 -0.099501 -0.049875 -0.024969 -0.012492 -0.006248 -0.038617
0.200000 0.980199 0.990050 0.995012 0.997503 0.998751 0.992303 -0.196040 -0.099005 -0.049751 -0.024938 -0.012484 -0.076443
0.300000 0.955997 0.977751 0.988813 0.994391 0.997191 0.982829 -0.286799 -0.146663 -0.074161 -0.037290 -0.018697 -0.112722
0.400000 0.923116 0.960789 0.980199 0.990050 0.995012 0.969833 -0.369247 -0.192158 -0.098020 -0.049502 -0.024875 -0.146760
0.500000 0.882497 0.939413 0.969233 0.984496 0.992218 0.953572 -0.441248 -0.234853 -0.121154 -0.061531 -0.031007 -0.177959
0.600000 0.835270 0.913931 0.955997 0.977751 0.988813 0.934353 -0.501162 -0.274179 -0.143400 -0.073331 -0.037080 -0.205831
0.700000 0.782705 0.884706 0.940588 0.969839 0.984804 0.912528 -0.547893 -0.309647 -0.164603 -0.084861 -0.043085 -0.230018
0.800000 0.726149 0.852144 0.923116 0.960789 0.980199 0.888479 -0.580919 -0.340858 -0.184623 -0.096079 -0.049010 -0.250298
0.900000 0.666977 0.816686 0.903707 0.950635 0.975005 0.862602 -0.600279 -0.367509 -0.203334 -0.106946 -0.054844 -0.266583
1.000000 0.606531 0.778801 0.882497 0.939413 0.969233 0.835295 -0.606531 -0.389400 -0.220624 -0.117427 -0.060577 -0.278912
1.100000 0.546074 0.738968 0.859633 0.927164 0.962893 0.806947 -0.600682 -0.406433 -0.236399 -0.127485 -0.066199 -0.287439
1.200000 0.486752 0.697676 0.835270 0.913931 0.955997 0.777925 -0.584103 -0.418606 -0.250581 -0.137090 -0.071700 -0.292416
1.300000 0.429557 0.655406 0.809572 0.899762 0.948558 0.748571 -0.558425 -0.426014 -0.263111 -0.146211 -0.077070 -0.294166
1.400000 0.375311 0.612626 0.782705 0.884706 0.940588 0.719187 -0.525436 -0.428838 -0.273947 -0.154824 -0.082301 -0.293069
1.500000 0.324652 0.569783 0.754840 0.868815 0.932102 0.690038 -0.486979 -0.427337 -0.283065 -0.162903 -0.087385 -0.289534
1.600000 0.278037 0.527292 0.726149 0.852144 0.923116 0.661348 -0.444860 -0.421834 -0.290460 -0.170429 -0.092312 -0.283979
1.700000 0.235746 0.485537 0.696805 0.834748 0.913646 0.633296 -0.400768 -0.412706 -0.296142 -0.177384 -0.097075 -0.276815
1.800000 0.197899 0.444858 0.666977 0.816686 0.903707 0.606025 -0.356218 -0.400372 -0.300140 -0.183754 -0.101667 -0.268430
1.900000 0.164474 0.405555 0.636832 0.798017 0.893318 0.579639 -0.312501 -0.385277 -0.302495 -0.189529 -0.106082 -0.259177
2.000000 0.135335 0.367879 0.606531 0.778801 0.882497 0.554209 -0.270671 -0.367879 -0.303265 -0.194700 -0.110312 -0.249366
2.100000 0.110251 0.332040 0.576229 0.759098 0.871262 0.529776 -0.231526 -0.348642 -0.302520 -0.199263 -0.114353 -0.239261
2.200000 0.088922 0.298197 0.546074 0.738968 0.859633 0.506359 -0.195628 -0.328017 -0.300341 -0.203216 -0.118200 -0.229080
2.300000 0.071005 0.266468 0.516206 0.718475 0.847629 0.483957 -0.163312 -0.306439 -0.296818 -0.206561 -0.121847 -0.218995
2.400000 0.056135 0.236928 0.486752 0.697676 0.835270 0.462552 -0.134723 -0.284313 -0.292051 -0.209303 -0.125291 -0.209136
2.500000 0.043937 0.209611 0.457833 0.676634 0.822578 0.442119 -0.109842 -0.262014 -0.286146 -0.211448 -0.128528 -0.199596
2.600000 0.034047 0.184520 0.429557 0.655406 0.809572 0.422620 -0.088523 -0.239875 -0.279212 -0.213007 -0.131555 -0.190435
2.700000 0.026121 0.161621 0.402021 0.634052 0.796274 0.404018 -0.070528 -0.218189 -0.271364 -0.213992 -0.134371 -0.181689
2.800000 0.019841 0.140858 0.375311 0.612626 0.782705 0.386268 -0.055555 -0.197202 -0.262718 -0.214419 -0.136973 -0.173373
2.900000 0.014921 0.122151 0.349501 0.591186 0.768886 0.369329 -0.043270 -0.177118 -0.253388 -0.214305 -0.139361 -0.165488
3.000000 0.011109 0.105399 0.324652 0.569783 0.754840 0.353157 -0.033327 -0.158099 -0.243489 -0.213669 -0.141532 -0.158023
3.100000 0.008189 0.090491 0.300818 0.548469 0.740587 0.337711 -0.025385 -0.140262 -0.233134 -0.212532 -0.143489 -0.150960
3.200000 0.005976 0.077305 0.278037 0.527292 0.726149 0.322952 -0.019123 -0.123688 -0.222430 -0.210917 -0.145230 -0.144277
3.300000 0.004318 0.065710 0.256340 0.506300 0.711548 0.308843 -0.014249 -0.108422 -0.211481 -0.208849 -0.146757 -0.137951
3.400000 0.003089 0.055576 0.235746 0.485537 0.696805 0.295351 -0.010502 -0.094480 -0.200384 -0.206353 -0.148071 -0.131958
3.500000 0.002187 0.046771 0.216265 0.465043 0.681941 0.282441 -0.007656 -0.081849 -0.189232 -0.203456 -0.149175 -0.126274
3.600000 0.001534 0.039164 0.197899 0.444858 0.666977 0.270086 -0.005522 -0.070495 -0.178109 -0.200186 -0.150070 -0.120876
3.700000 0.001065 0.032631 0.180640 0.425017 0.651934 0.258257 -0.003940 -0.060367 -0.167092 -0.196571 -0.150760 -0.115746
3.800000 0.000732 0.027052 0.164474 0.405555 0.636832 0.246929 -0.002781 -0.051399 -0.156251 -0.192638 -0.151248 -0.110863
3.900000 0.000498 0.022315 0.149382 0.386499 0.621691 0.236077 -0.001942 -0.043514 -0.145647 -0.188418 -0.151537 -0.106212
4.000000 0.000335 0.018316 0.135335 0.367879 0.606531 0.225679 -0.001342 -0.036631 -0.135335 -0.183940 -0.151633 -0.101776
4.100000 0.000224 0.014958 0.122303 0.349719 0.591371 0.215715 -0.000917 -0.030664 -0.125361 -0.179231 -0.151539 -0.097542
4.200000 0.000148 0.012155 0.110251 0.332040 0.576229 0.206164 -0.000621 -0.025526 -0.115763 -0.174321 -0.151260 -0.093498
4.300000 0.000097 0.009828 0.099137 0.314861 0.561124 0.197009 -0.000415 -0.021131 -0.106573 -0.169238 -0.150802 -0.089632
4.400000 0.000063 0.007907 0.088922 0.298197 0.546074 0.188233 -0.000275 -0.017396 -0.097814 -0.164009 -0.150170 -0.085933
4.500000 0.000040 0.006330 0.079560 0.282063 0.531096 0.179818 -0.000180 -0.014242 -0.089504 -0.158660 -0.149371 -0.082392
4.600000 0.000025 0.005042 0.071005 0.266468 0.516206 0.171749 -0.000117 -0.011596 -0.081656 -0.153219 -0.148409 -0.079000
4.700000 0.000016 0.003996 0.063213 0.251421 0.501419 0.164013 -0.000075 -0.009390 -0.074275 -0.147710 -0.147292 -0.075748
4.800000 0.000010 0.003151 0.056135 0.236928 0.486752 0.156595 -0.000048 -0.007563 -0.067362 -0.142157 -0.146026 -0.072631
4.900000 0.000006 0.002473 0.049725 0.222991 0.472219 0.149483 -0.000030 -0.006058 -0.060913 -0.136582 -0.144617 -0.069640
5.000000 0.000004 0.001930 0.043937 0.209611 0.457833 0.142663 -0.000019 -0.004826 -0.054921 -0.131007 -0.143073 -0.066769
5.100000 0.000002 0.001500 0.038726 0.196789 0.443609 0.136125 -0.000011 -0.003824 -0.049375 -0.125453 -0.141400 -0.064013
5.200000 0.000001 0.001159 0.034047 0.184520 0.429557 0.129857 -0.000007 -0.003014 -0.044262 -0.119938 -0.139606 -0.061365
5.300000 0.000001 0.000892 0.029860 0.172799 0.415691 0.123848 -0.000004 -0.002363 -0.039564 -0.114479 -0.137698 -0.058822
5.400000 0.000000 0.000682 0.026121 0.161621 0.402021 0.118089 -0.000003 -0.001842 -0.035264 -0.109094 -0.135682 -0.056377
5.500000 0.000000 0.000520 0.022794 0.150977 0.388558 0.112570 -0.000001 -0.001429 -0.031342 -0.103797 -0.133567 -0.054027
5.600000 0.000000 0.000394 0.019841 0.140858 0.375311 0.107281 -0.000001 -0.001102 -0.027778 -0.098601 -0.131359 -0.051768
5.700000 0.000000 0.000297 0.017227 0.131253 0.362289 0.102213 -0.000001 -0.000846 -0.024549 -0.093518 -0.129066 -0.049596
5.800000 0.000000 0.000223 0.014921 0.122151 0.349501 0.097359 -0.000000 -0.000646 -0.021635 -0.088559 -0.126694 -0.047507
5.900000 0.000000 0.000166 0.012891 0.113537 0.336953 0.092709 -0.000000 -0.000490 -0.019014 -0.083734 -0.124251 -0.045498
6.000000 0.000000 0.000123 0.011109 0.105399 0.324652 0.088257 -0.000000 -0.000370 -0.016663 -0.079049 -0.121745 -0.043566
6.100000 0.000000 0.000091 0.009550 0.097722 0.312606 0.083994 -0.000000 -0.000278 -0.014563 -0.074513 -0.119181 -0.041707
6.200000 0.000000 0.000067 0.008189 0.090491 0.300818 0.079913 -0.000000 -0.000208 -0.012692 -0.070131 -0.116567 -0.039920
6.300000 0.000000 0.000049 0.007004 0.083691 0.289294 0.076008 -0.000000 -0.000155 -0.011032 -0.065907 -0.113909 -0.038200
6.400000 0.000000 0.000036 0.005976 0.077305 0.278037 0.072271 -0.000000 -0.000114 -0.009562 -0.061844 -0.111215 -0.036547
6.500000 0.000000 0.000026 0.005086 0.071317 0.267052 0.068696 -0.000000 -0.000084 -0.008265 -0.057945 -0.108490 -0.034957
6.600000 0.000000 0.000019 0.004318 0.065710 0.256340 0.065277 -0.000000 -0.000062 -0.007124 -0.054211 -0.105740 -0.033427
6.700000 0.000000 0.000013 0.003656 0.060469 0.245904 0.062009 -0.000000 -0.000045 -0.006125 -0.050643 -0.102972 -0.031957
6.800000 0.000000 0.000010 0.003089 0.055576 0.235746 0.058884 -0.000000 -0.000032 -0.005251 -0.047240 -0.100192 -0.030543
6.900000 0.000000 0.000007 0.002603 0.051016 0.225866 0.055898 -0.000000 -0.000023 -0.004489 -0.044001 -0.097405 -0.029184
7.000000 0.000000 0.000005 0.002187 0.046771 0.216265 0.053046 -0.000000 -0.000017 -0.003828 -0.040924 -0.094616 -0.027877
7.100000 0.000000 0.000003 0.001834 0.042825 0.206943 0.050321 -0.000000 -0.000012 -0.003255 -0.038008 -0.091831 -0.026621
7.200000 0.000000 0.000002 0.001534 0.039164 0.197899 0.047720 -0.000000 -0.000008 -0.002761 -0.035248 -0.089054 -0.025414
7.300000 0.000000 0.000002 0.001280 0.035771 0.189132 0.045237 -0.000000 -0.000006 -0.002335 -0.032641 -0.086291 -0.024255
7.400000 0.000000 0.000001 0.001065 0.032631 0.180640 0.042867 -0.000000 -0.000004 -0.001970 -0.030183 -0.083546 -0.023141
7.500000 0.000000 0.000001 0.000884 0.029729 0.172422 0.040607 -0.000000 -0.000003 -0.001657 -0.027871 -0.080823 -0.022071
7.600000 0.000000 0.000001 0.000732 0.027052 0.164474 0.038452 -0.000000 -0.000002 -0.001390 -0.025699 -0.078125 -0.021043
7.700000 0.000000 0.000000 0.000604 0.024585 0.156796 0.036397 -0.000000 -0.000001 -0.001163 -0.023663 -0.075458 -0.020057
7.800000 0.000000 0.000000 0.000498 0.022315 0.149382 0.034439 -0.000000 -0.000001 -0.000971 -0.021757 -0.072824 -0.019111
7.900000 0.000000 0.000000 0.000409 0.020229 0.142230 0.032574 -0.000000 -0.000001 -0.000808 -0.019976 -0.070226 -0.018202
8.000000 0.000000 0.000000 0.000335 0.018316 0.135335 0.030797 -0.000000 -0.000000 -0.000671 -0.018316 -0.067668 -0.017331
8.100000 0.000000 0.000000 0.000274 0.016562 0.128695 0.029106 -0.000000 -0.000000 -0.000555 -0.016769 -0.065152 -0.016495
8.200000 0.000000 0.000000 0.000224 0.014958 0.122303 0.027497 -0.000000 -0.000000 -0.000459 -0.015332 -0.062681 -0.015694
8.300000 0.000000 0.000000 0.000182 0.013492 0.116157 0.025966 -0.000000 -0.000000 -0.000378 -0.013998 -0.060256 -0.014927
8.400000 0.000000 0.000000 0.000148 0.012155 0.110251 0.024511 -0.000000 -0.000000 -0.000310 -0.012763 -0.057882 -0.014191
8.500000 0.000000 0.000000 0.000120 0.010937 0.104579 0.023127 -0.000000 -0.000000 -0.000254 -0.011620 -0.055558 -0.013486
8.600000 0.000000 0.000000 0.000097 0.009828 0.099137 0.021812 -0.000000 -0.000000 -0.000208 -0.010565 -0.053286 -0.012812
8.700000 0.000000 0.000000 0.000078 0.008821 0.093920 0.020564 -0.000000 -0.000000 -0.000169 -0.009593 -0.051069 -0.012166
8.800000 0.000000 0.000000 0.000063 0.007907 0.088922 0.019378 -0.000000 -0.000000 -0.000138 -0.008698 -0.048907 -0.011548
8.900000 0.000000 0.000000 0.000050 0.007079 0.084137 0.018253 -0.000000 -0.000000 -0.000111 -0.007875 -0.046801 -0.010958
9.000000 0.000000 0.000000 0.000040 0.006330 0.079560 0.017186 -0.000000 -0.000000 -0.000090 -0.007121 -0.044752 -0.010393
9.100000 0.000000 0.000000 0.000032 0.005653 0.075184 0.016174 -0.000000 -0.000000 -0.000073 -0.006430 -0.042761 -0.009853
9.200000 0.000000 0.000000 0.000025 0.005042 0.071005 0.015215 -0.000000 -0.000000 -0.000058 -0.005798 -0.040828 -0.009337
9.300000 0.000000 0.000000 0.000020 0.004491 0.067017 0.014306 -0.000000 -0.000000 -0.000047 -0.005221 -0.038953 -0.008844
9.400000 0.000000 0.000000 0.000016 0.003996 0.063213 0.013445 -0.000000 -0.000000 -0.000038 -0.004695 -0.037137 -0.008374
9.500000 0.000000 0.000000 0.000013 0.003551 0.059587 0.012630 -0.000000 -0.000000 -0.000030 -0.004216 -0.035380 -0.007925
9.600000 0.000000 0.000000 0.000010 0.003151 0.056135 0.011859 -0.000000 -0.000000 -0.000024 -0.003781 -0.033681 -0.007497
9.700000 0.000000 0.000000 0.000008 0.002793 0.052849 0.011130 -0.000000 -0.000000 -0.000019 -0.003387 -0.032040 -0.007089
9.800000 0.000000 0.000000 0.000006 0.002473 0.049725 0.010441 -0.000000 -0.000000 -0.000015 -0.003029 -0.030456 -0.006700
9.900000 0.000000 0.000000 0.000005 0.002186 0.046756 0.009789 -0.000000 -0.000000 -0.000012 -0.002705 -0.028930 -0.006329
10.000000 0.000000 0.000000 0.000004 0.001930 0.043937 0.009174 -0.000000 -0.000000 -0.000009 -0.002413 -0.027461 -0.005977
