x y1 y2 y3 y4 y5 y dy1 dy2 dy3 dy4 dy5 dy
0.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000
0.100000 0.995074 0.995037 0.995025 0.995019 0.995015 0.995034 -0.097080 -0.098519 -0.099007 -0.099254 -0.099402 -0.098652
0.200000 0.981118 0.980581 0.980392 0.980296 0.980238 0.980525 -0.178385 -0.188573 -0.192234 -0.194118 -0.195266 -0.189715
0.300000 0.960224 0.957826 0.956938 0.956474 0.956190 0.957531 -0.235157 -0.263622 -0.274719 -0.280628 -0.284298 -0.267685
0.400000 0.934920 0.928477 0.925926 0.924556 0.923701 0.927516 -0.267120 -0.320164 -0.342936 -0.355599 -0.363662 -0.329896
0.500000 0.907464 0.894427 0.888889 0.885813 0.883854 0.892089 -0.279220 -0.357771 -0.395062 -0.416853 -0.431148 -0.376011
0.600000 0.879527 0.857493 0.847458 0.841680 0.837917 0.852815 -0.277745 -0.378306 -0.430911 -0.463310 -0.485280 -0.407110
0.700000 0.852185 0.819232 0.803213 0.793647 0.787268 0.811109 -0.268103 -0.384874 -0.451606 -0.494925 -0.525346 -0.424971
0.800000 0.826048 0.780869 0.757576 0.743163 0.733317 0.768195 -0.254169 -0.380912 -0.459137 -0.512526 -0.551366 -0.431622
0.900000 0.801410 0.743294 0.711744 0.691560 0.677441 0.725090 -0.238436 -0.369594 -0.455921 -0.517592 -0.564012 -0.429111
1.000000 0.778371 0.707107 0.666667 0.640000 0.620921 0.682613 -0.222392 -0.353553 -0.444444 -0.512000 -0.564474 -0.419373
1.100000 0.756914 0.672673 0.623053 0.589447 0.564900 0.641397 -0.206859 -0.334815 -0.427014 -0.497805 -0.554318 -0.404162
1.200000 0.736968 0.640184 0.581395 0.540657 0.510352 0.601911 -0.192252 -0.314845 -0.405625 -0.477051 -0.535334 -0.385021
1.300000 0.718427 0.609711 0.542005 0.494192 0.458065 0.564480 -0.178747 -0.294656 -0.381901 -0.451634 -0.509397 -0.363267
1.400000 0.701180 0.581238 0.505051 0.450430 0.408643 0.529308 -0.166382 -0.274910 -0.357106 -0.423223 -0.478345 -0.339993
1.500000 0.685114 0.554700 0.470588 0.409600 0.362510 0.496502 -0.155120 -0.256015 -0.332180 -0.393216 -0.443889 -0.316084
1.600000 0.670122 0.529999 0.438596 0.371802 0.319928 0.466089 -0.144891 -0.238202 -0.307787 -0.362734 -0.407551 -0.292233
1.700000 0.656104 0.507020 0.408998 0.337040 0.281019 0.438036 -0.135608 -0.221577 -0.284375 -0.332638 -0.370622 -0.268964
1.800000 0.642971 0.485643 0.381679 0.305241 0.245788 0.412264 -0.127181 -0.206169 -0.262222 -0.303555 -0.334152 -0.246656
1.900000 0.630642 0.465746 0.356506 0.276281 0.214146 0.388664 -0.119523 -0.191956 -0.241484 -0.275918 -0.298954 -0.225567
2.000000 0.619044 0.447214 0.333333 0.250000 0.185934 0.367105 -0.112553 -0.178885 -0.222222 -0.250000 -0.265621 -0.205856
2.100000 0.608111 0.429934 0.312012 0.226218 0.160946 0.347444 -0.106198 -0.166887 -0.204439 -0.225949 -0.234550 -0.187605
2.200000 0.597786 0.413803 0.292398 0.204746 0.138941 0.329535 -0.100392 -0.155885 -0.188092 -0.203820 -0.205977 -0.170833
2.300000 0.588017 0.398726 0.274348 0.185391 0.119664 0.313229 -0.095075 -0.145798 -0.173114 -0.183595 -0.180004 -0.155517
2.400000 0.578756 0.384615 0.257732 0.167966 0.102853 0.298385 -0.090196 -0.136550 -0.159422 -0.165212 -0.156630 -0.141602
2.500000 0.569964 0.371391 0.242424 0.152290 0.088254 0.284865 -0.085709 -0.128066 -0.146924 -0.148576 -0.135775 -0.129010
2.600000 0.561603 0.358979 0.228311 0.138196 0.075619 0.272541 -0.081574 -0.120276 -0.135527 -0.133572 -0.117308 -0.117652
2.700000 0.553639 0.347314 0.215285 0.125526 0.064718 0.261296 -0.077754 -0.113118 -0.125139 -0.120078 -0.101063 -0.107430
2.800000 0.546043 0.336336 0.203252 0.114134 0.055338 0.251021 -0.074219 -0.106532 -0.115672 -0.107965 -0.086854 -0.098248
2.900000 0.538787 0.325991 0.192123 0.103891 0.047286 0.241615 -0.070941 -0.100465 -0.107043 -0.097110 -0.074486 -0.090009
3.000000 0.531847 0.316228 0.181818 0.094675 0.040386 0.232991 -0.067895 -0.094868 -0.099174 -0.087392 -0.063768 -0.082619
3.100000 0.525201 0.307003 0.172265 0.086378 0.034484 0.225066 -0.065060 -0.089699 -0.091994 -0.078699 -0.054513 -0.075993
3.200000 0.518828 0.298275 0.163399 0.078904 0.029441 0.217769 -0.062415 -0.084918 -0.085437 -0.070925 -0.046546 -0.070048
