x1 x2 label
8.773 -14.266 1
10.805 7.516 0
3.530 -5.316 0
-0.462 3.288 8
1.935 -12.681 4
3.849 7.786 7
8.750 -14.688 0
-13.579 -18.226 7
0.210 1.215 8
2.509 2.424 5
8.360 -4.218 0
-9.676 -31.122 9
6.618 22.092 4
-3.120 -13.011 5
4.919 15.077 1
-8.968 -36.736 1
4.255 -14.024 0
-8.701 -37.925 8
17.327 15.338 4
8.463 13.151 9
3.242 19.524 0
-16.863 -1.253 6
-18.682 -9.552 1
6.666 29.711 0
13.830 27.706 5
8.491 5.536 8
-9.836 -23.393 2
-8.720 -29.585 0
10.071 -5.475 7
-12.653 -33.994 3
-2.835 19.186 0
-10.542 -5.836 0
-13.590 -25.660 2
-2.387 -5.212 8
0.220 13.616 2
-4.287 -26.727 2
13.232 18.823 2
14.499 12.669 4
0.749 3.182 7
-17.079 -17.880 4
-14.465 -26.906 7
6.741 10.232 7
-13.035 -30.396 7
-2.334 -5.907 5
-0.375 -20.254 9
-4.240 -20.444 1
5.042 -6.293 1
2.387 -16.880 9
-5.344 1.714 3
12.763 25.776 2
-8.322 -33.227 9
-3.351 -3.381 4
12.078 30.812 5
14.953 31.598 5
-1.262 -15.260 2
-3.578 -17.934 4
-1.384 -17.909 1
8.417 16.177 8
-14.542 -23.311 3
-6.771 -33.660 1
-5.651 -7.178 1
7.999 29.403 0
-2.649 1.442 5
-4.659 6.708 4
-10.010 -37.037 1
-13.282 -11.818 1
-8.696 -31.512 1
-6.891 10.329 3
7.083 14.944 6
-1.037 14.861 8
-3.325 8.863 8
15.314 -1.125 4
13.494 30.376 6
5.080 11.131 1
8.075 27.179 0
15.438 -0.966 9
2.813 -16.105 9
14.307 19.817 3
2.182 16.279 8
18.253 21.653 1
-1.202 10.560 7
-10.899 9.663 4
13.323 10.865 9
14.521 22.411 3
-5.298 6.761 5
-10.782 -2.968 3
14.695 -4.585 0
17.374 28.903 4
-4.257 -22.166 8
-0.449 -9.964 7
4.762 -3.086 2
9.461 -6.499 8
-13.875 -10.554 1
-15.079 -29.071 9
-11.446 -26.208 3
2.823 6.913 7
-7.548 0.574 7
-7.034 -13.747 2
-8.361 -38.706 2
-12.837 -26.170 7
13.744 20.324 5
-6.155 -18.704 0
10.134 24.975 6
-9.954 -21.633 7
15.925 30.254 4
-0.821 -15.759 6
4.726 8.382 4
7.791 -8.889 6
-3.362 -19.336 1
-2.918 -8.935 8
-6.949 -28.280 9
4.530 -16.518 7
2.725 -16.069 4
0.134 -16.562 8
3.829 -4.755 0
3.093 20.627 3
6.598 25.286 7
4.240 19.133 8
15.515 16.741 2
14.020 25.901 2
-4.660 9.969 8
-9.220 8.719 4
-7.567 -14.499 5
5.854 -1.509 9
2.204 5.318 3
7.482 -10.104 8
3.079 -2.242 2
-1.524 -10.187 1
8.779 25.125 8
7.100 16.530 4
10.915 30.509 3
4.931 26.443 3
-8.854 -15.419 8
2.643 7.215 3
4.054 14.168 2
-3.930 -23.913 2
1.445 28.393 1
-7.891 -35.975 2
5.272 -16.073 3
12.093 11.558 6
-8.916 20.358 5
-0.510 -11.232 9
14.329 23.913 5
-1.149 -23.797 2
8.933 -8.033 6
5.337 -11.158 0
8.737 -14.705 9
-9.628 3.543 0
-11.949 2.408 0
-11.624 -30.580 0
13.741 34.210 4
8.233 6.420 5
17.042 9.887 4
-13.172 -22.317 9
-10.187 -8.268 3
-10.310 15.419 2
-2.982 17.767 4
3.899 26.902 9
3.619 -3.276 0
-7.889 -25.368 9
5.796 -0.815 8
-9.648 12.427 8
-16.722 -11.122 4
4.080 5.681 6
-0.696 9.995 9
10.903 29.860 4
-1.923 -26.209 2
0.948 12.750 4
-6.157 -18.285 8
-12.993 -23.916 4
5.938 -12.374 0
6.480 -3.190 7
-10.582 -32.336 1
-8.864 5.348 2
-9.149 -3.883 0
-6.604 19.434 2
13.710 20.737 3
1.504 3.017 0
-6.785 0.615 0
-7.991 7.933 3
7.112 -7.885 0
8.848 31.522 8
14.899 27.353 9
7.720 30.939 5
6.749 27.369 9
13.806 19.698 6
18.264 16.350 4
8.850 3.784 6
-2.962 18.279 6
5.029 16.655 6
-0.401 -2.327 7
-12.655 -5.897 7
2.027 0.571 1
-15.967 -20.966 0
-6.358 13.168 3
-6.352 -15.059 2
-9.560 -19.023 2
8.632 6.026 7
4.474 -6.008 1
-12.982 -7.618 2
18.548 30.970 4
0.076 22.392 2
-6.040 -0.983 5
5.842 27.423 5
-8.684 -18.373 6
3.013 -14.893 9
11.035 15.573 2
-8.440 12.818 3
5.632 -9.327 7
13.794 19.243 7
0.222 18.611 3
-5.128 2.833 4
-10.662 -16.460 7
9.316 10.414 1
5.861 11.731 8
-12.299 -28.889 0
14.968 22.390 8
5.018 5.441 7
11.401 17.997 6
4.735 -12.481 0
12.328 5.475 3
-13.180 -10.960 9
9.687 10.226 5
-12.099 -6.754 8
-14.743 -8.067 1
-9.735 -1.212 2
6.315 19.172 7
9.448 -7.026 5
3.345 -8.912 1
-7.261 -30.580 0
8.985 29.199 6
0.193 8.144 3
-11.985 3.672 7
-2.994 -4.576 0
-9.397 -20.481 7
7.441 25.126 4
-9.943 -37.010 9
-15.234 -29.148 9
-14.971 -8.271 8
-8.736 -32.398 1
0.156 -0.144 8
12.026 11.746 3
4.567 -6.641 9
-9.515 -23.068 1
8.856 3.624 0
-11.850 6.257 9
-5.112 -25.440 4
2.501 -17.488 3
10.880 -8.216 4
-4.403 -16.431 8
12.593 3.271 6
-12.482 -25.381 0
18.227 31.437 0
-16.810 -26.992 9
-11.662 -12.039 7
-8.649 -37.371 9
-7.197 6.221 7
-9.252 14.924 3
16.655 10.968 5
1.699 11.032 4
15.661 29.366 3
7.046 -14.808 8
-4.334 -14.343 7
16.626 34.446 5
-10.635 -4.910 2
-8.378 -33.731 1
-3.501 -17.906 9
-12.256 -6.401 4
14.450 2.498 6
-5.361 1.898 8
9.326 28.799 5
-1.784 -14.712 1
8.742 5.313 2
7.067 30.614 6
-8.814 5.580 7
-6.861 7.907 5
-3.403 8.151 8
7.625 -7.514 8
7.660 25.016 7
-6.141 -15.102 8
-6.005 -22.671 1
-2.330 -8.843 8
11.890 24.092 2
-12.481 -27.141 9
5.678 4.370 6
-3.017 -19.569 1
9.880 29.749 7
-0.895 24.649 5
9.860 -12.022 9
-5.244 -23.268 7
-10.578 -35.293 0
7.003 -1.532 3
-0.413 5.494 9
11.081 30.523 5
-15.195 -3.571 8
-10.513 -16.594 8
-2.051 -26.353 6
-9.765 -14.569 9
-11.900 -23.900 7
14.121 5.058 2
-13.021 -28.186 9
-0.190 -6.110 9
6.533 12.926 7
5.921 11.850 4
-3.841 -12.124 9
-10.937 -6.689 0
7.449 26.123 8
-5.624 -12.190 4
-8.988 -11.409 3
-2.088 -19.195 5
-8.446 -8.327 2
