x1 x2 label
9.585 12.389 0
22.802 9.041 4
-5.179 -21.947 6
-11.369 -26.117 8
1.897 1.691 0
12.947 3.319 8
-10.738 48.209 7
6.582 14.180 6
-17.123 -9.649 6
5.081 -9.821 1
5.281 16.494 1
-12.037 -10.198 5
4.240 -7.651 6
-17.034 -33.635 8
-1.171 39.698 6
18.263 -0.280 9
5.219 18.344 6
-0.228 44.746 4
-12.655 -16.359 3
8.975 33.417 0
16.294 18.677 0
1.862 38.933 2
20.755 30.050 0
4.375 -19.182 8
-0.333 1.722 6
-10.760 -14.548 8
0.635 -3.807 3
-21.378 -41.090 8
-11.234 -15.851 8
-0.069 2.813 4
22.410 18.803 3
7.022 -13.824 8
18.122 7.082 1
-10.693 -21.145 3
19.216 10.641 4
0.673 2.753 7
-3.642 45.769 9
1.762 2.947 3
-20.604 -28.043 4
-5.065 8.385 8
-0.774 7.643 7
-10.093 -13.750 5
7.208 42.346 9
-23.666 -30.940 4
-13.096 -4.853 0
21.946 23.760 1
15.758 25.585 9
3.844 5.855 6
-12.559 -17.929 3
-6.973 -28.920 4
7.977 26.930 0
1.359 38.459 7
13.339 2.062 2
-15.195 -10.287 5
21.578 17.961 9
-0.103 -5.293 8
-22.683 -43.379 0
15.022 15.121 3
-12.638 -24.529 5
19.400 9.821 3
1.852 6.157 6
-20.858 -27.820 8
3.169 -17.157 1
-20.501 -41.966 3
24.450 26.798 0
15.382 -11.179 8
-20.700 -42.925 0
-19.659 -33.979 2
8.859 -4.737 5
0.271 37.825 1
14.555 1.593 1
4.629 20.051 1
-4.482 -30.794 1
10.689 -3.048 3
11.046 36.315 1
-5.804 -30.028 9
-6.539 -5.952 6
-17.421 -32.734 9
7.575 10.593 5
-5.424 -12.699 6
-4.651 -30.760 4
14.529 -5.386 5
-23.269 -40.128 2
0.676 -17.291 2
3.837 11.059 3
-13.956 -13.474 9
16.461 -8.182 6
11.596 21.415 9
18.994 -1.536 6
5.889 33.757 1
-10.820 -17.478 0
-16.248 -33.682 4
-16.342 -23.346 6
8.471 24.147 3
20.553 28.516 1
6.756 46.862 1
10.128 22.458 7
13.550 -12.505 8
-6.922 -27.070 2
21.165 22.275 4
-15.217 -14.639 7
-1.015 0.377 9
-14.547 -25.215 0
-8.313 47.129 1
22.002 12.275 0
22.820 10.067 5
6.527 -1.257 7
8.004 19.782 2
7.800 -4.183 4
-23.335 -39.930 9
16.132 1.202 9
-9.190 -10.771 8
-11.282 49.470 7
12.244 28.339 9
16.534 10.484 0
19.987 3.179 7
19.732 26.236 8
0.337 45.784 5
4.078 46.961 0
23.159 8.458 5
15.057 -13.760 9
-9.384 -19.990 8
-10.206 -27.976 4
22.150 17.564 7
13.632 -6.176 3
-11.415 50.444 3
-0.411 42.489 2
-4.329 -11.459 0
