x1 x2 label
7.498 -24.142 3
7.347 16.499 1
13.960 22.064 9
16.784 -3.102 0
-3.251 -24.130 5
-2.638 26.022 7
-17.971 16.818 6
1.114 0.517 7
1.214 -25.414 6
-14.510 -15.490 7
11.412 -1.649 8
10.041 -18.807 5
0.398 17.678 8
24.609 6.504 9
1.567 -27.086 4
5.440 17.590 1
21.807 -3.769 9
25.320 -0.512 9
17.182 3.316 1
-9.029 8.144 5
-1.177 17.761 8
-11.824 12.740 3
5.792 -19.112 9
-5.615 16.483 4
-6.480 -0.910 2
6.952 20.699 1
-4.143 3.044 8
10.889 0.365 0
21.724 -2.746 9
16.642 18.366 9
-9.769 17.506 2
-16.217 22.126 5
-11.549 6.351 7
-10.748 8.694 3
-11.903 24.173 3
-13.744 22.361 2
9.910 22.464 1
1.310 -12.869 7
22.175 8.770 9
-3.915 -30.641 6
8.663 20.866 1
-0.793 -21.092 4
-0.006 -26.014 4
5.065 -23.518 4
-0.215 19.712 0
-17.436 -11.982 7
-13.387 28.506 0
-0.458 -31.509 6
-8.211 16.802 2
22.702 6.040 9
1.053 0.432 9
8.394 23.296 1
-3.434 -5.554 2
-5.320 21.454 4
-17.474 -0.268 6
-6.997 20.288 4
-4.752 2.152 0
2.230 3.477 0
18.996 -1.543 9
-4.401 -9.462 7
-5.776 -18.049 4
5.623 -14.061 5
-9.217 -16.095 7
8.241 21.284 1
-10.839 15.091 3
-7.355 26.061 8
-0.202 -2.407 0
7.006 0.152 8
-17.009 16.978 6
-13.820 -15.248 7
-5.709 -20.029 5
11.600 20.392 1
6.047 -17.879 3
-17.183 4.475 8
-11.832 18.929 2
23.109 9.204 9
-7.025 2.899 2
-9.020 23.037 3
-0.052 -11.146 2
21.769 -0.097 9
1.119 -4.830 0
2.075 -21.403 6
-12.477 -22.281 6
-13.437 -0.775 3
-5.050 -27.059 4
-3.490 -5.644 2
22.462 -1.623 0
-17.043 3.362 6
1.112 -28.716 5
10.901 -2.263 8
10.478 -23.197 5
0.461 -12.500 2
-3.593 -18.596 0
-11.711 14.222 5
-10.042 18.669 4
21.557 -3.317 9
-5.487 -2.073 3
-3.961 -15.558 2
8.551 -2.442 0
-10.586 4.973 0
2.773 -6.753 0
10.895 -21.617 5
-0.776 3.009 2
-16.979 -9.675 7
-10.779 4.989 4
-6.175 18.915 4
20.477 3.425 9
2.851 -9.135 0
12.328 -21.103 5
-8.486 0.764 6
-9.443 18.639 7
9.388 16.751 1
-17.134 2.781 6
7.348 20.975 1
-11.737 14.372 6
11.572 3.626 9
-16.854 -16.621 7
-15.070 15.906 6
7.338 -13.848 3
24.146 5.564 9
-13.184 17.293 9
-3.614 -18.770 4
-5.860 -3.647 5
-2.403 24.878 7
